Customer_ID,Gender,Age,Marital_Status,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Credit_Score,Application_Date,Loan_Status,Total_Income,Loan_to_Income_Ratio,ApplicantIncome_Normalized,LoanAmount_Normalized,Credit_Score_Normalized,Total_Income_Normalized
CUST11028,Male,41,Single,Graduate,No,60136.34,23375.46,6900.0,36,1,Urban,708,2023-07-18,Rejected,83511.8,0.083,0.4058,0.2381,0.6643,0.2888
CUST10140,Female,47,Single,Graduate,No,27320.81,4590.77,3400.0,360,1,Rural,704,2022-03-18,Rejected,31911.58,0.107,0.1526,0.0969,0.6572,0.0927
CUST10110,Female,36,Divorced,Graduate,No,17783.01,47391.96,4600.0,180,0,Semiurban,513,2022-03-02,Approved,65174.97,0.071,0.079,0.1453,0.3198,0.2191
CUST10638,Male,46,Single,Not Graduate,Yes,28733.46,9856.56,4300.0,360,1,Semiurban,607,2022-12-16,Approved,38590.02,0.111,0.1635,0.1332,0.4859,0.118
CUST10702,Male,28,Divorced,Not Graduate,No,94384.71,0.0,14200.0,360,1,Urban,683,2023-01-20,Approved,94384.71,0.15,0.6701,0.5328,0.6201,0.3302
CUST11907,Male,25,Married,Graduate,No,49296.19,0.0,13400.0,120,1,Semiurban,639,2024-11-10,Approved,49296.19,0.272,0.3222,0.5005,0.5424,0.1588
CUST11702,Female,59,Married,Graduate,No,52078.88,57747.95,14200.0,360,1,Semiurban,703,2024-07-21,Approved,109826.83,0.129,0.3437,0.5328,0.6555,0.3889
CUST11614,Female,47,Married,Not Graduate,No,35786.55,23187.75,7800.0,360,0,Rural,786,2024-06-03,Approved,58974.3,0.132,0.218,0.2745,0.8021,0.1956
CUST10172,Male,32,Single,Graduate,No,76835.19,0.0,8700.0,360,1,Semiurban,739,2022-04-05,Approved,76835.19,0.113,0.5347,0.3108,0.7191,0.2635
CUST11319,Female,38,Married,Graduate,No,137131.87,24895.26,8300.0,120,1,Urban,653,2023-12-24,Approved,162027.13,0.051,1.0,0.2947,0.5671,0.5874
CUST10375,Male,28,Single,Not Graduate,No,96624.21,0.0,22500.0,360,0,Urban,628,2022-07-25,Approved,96624.21,0.233,0.6874,0.8678,0.523,0.3387
CUST11746,Male,28,Married,Post Graduate,No,26054.02,17538.04,4500.0,360,1,Rural,592,2024-08-14,Approved,43592.06,0.103,0.1428,0.1413,0.4594,0.1371
CUST11966,Male,35,Single,Not Graduate,No,137131.87,32569.94,25775.0,360,0,Rural,499,2024-12-12,Approved,169701.81,0.152,1.0,1.0,0.2951,0.6166
CUST10410,Female,54,Married,Graduate,Yes,21011.06,0.0,3400.0,360,0,Urban,573,2022-08-13,Approved,21011.06,0.162,0.1039,0.0969,0.4258,0.0512
CUST11936,Female,22,Married,Not Graduate,No,40238.63,25624.34,9200.0,360,1,Urban,597,2024-11-26,Approved,65862.97,0.14,0.2523,0.331,0.4682,0.2217
CUST11156,Male,51,Single,Graduate,No,106799.43,1178.38,23500.0,60,1,Rural,537,2023-09-26,Approved,107977.81,0.218,0.7659,0.9082,0.3622,0.3819
CUST11127,Female,41,Single,Post Graduate,No,37272.26,18539.25,4300.0,300,1,Urban,657,2023-09-10,Approved,55811.51,0.077,0.2294,0.1332,0.5742,0.1835
CUST11064,Male,38,Widowed,Not Graduate,Yes,21625.58,28806.07,6300.0,360,1,Urban,678,2023-08-06,Rejected,50431.65,0.125,0.1087,0.2139,0.6113,0.1631
CUST11926,Female,53,Single,Graduate,No,41494.73,23509.71,5100.0,300,1,Semiurban,607,2024-11-21,Approved,65004.44,0.078,0.262,0.1655,0.4859,0.2185
CUST10829,Male,42,Married,Not Graduate,No,45554.21,18133.1,6900.0,360,1,Rural,579,2023-03-31,Rejected,63687.31,0.108,0.2933,0.2381,0.4364,0.2135
CUST10986,Male,52,Divorced,Graduate,No,41762.65,6690.39,5600.0,180,1,Rural,590,2023-06-25,Approved,48453.04,0.116,0.2641,0.1857,0.4558,0.1555
CUST10729,Female,22,Single,Graduate,No,44735.15,15017.0,7200.0,360,0,Semiurban,757,2023-02-04,Approved,59752.15,0.12,0.287,0.2503,0.7509,0.1985
CUST11834,Male,33,Married,Post Graduate,Yes,34360.69,1849.32,7600.0,120,1,Semiurban,608,2024-10-01,Rejected,36210.01,0.21,0.2069,0.2664,0.4876,0.109
CUST11256,Male,38,Married,Graduate,Yes,18723.69,0.0,2400.0,360,1,Semiurban,825,2023-11-20,Rejected,18723.69,0.128,0.0863,0.0565,0.871,0.0425
CUST11380,Female,35,Single,Not Graduate,No,59791.08,0.0,10100.0,180,0,Urban,598,2024-01-26,Approved,59791.08,0.169,0.4032,0.3673,0.47,0.1987
CUST10002,Female,25,Single,Graduate,Yes,22145.47,13599.32,3900.0,360,1,Rural,385,2022-01-02,Approved,35744.79,0.109,0.1127,0.1171,0.0936,0.1072
CUST11276,Male,55,Married,Not Graduate,Yes,20132.03,0.0,6200.0,180,1,Rural,681,2023-11-30,Approved,20132.03,0.308,0.0971,0.2099,0.6166,0.0479
CUST11504,Female,46,Single,Graduate,Yes,45765.53,14983.58,7000.0,300,1,Semiurban,600,2024-04-03,Approved,60749.11,0.115,0.295,0.2422,0.4735,0.2023
CUST10514,Male,38,Widowed,Graduate,No,75936.73,0.0,13500.0,360,1,Rural,721,2022-10-09,Rejected,75936.73,0.178,0.5278,0.5045,0.6873,0.26
CUST10325,Female,52,Married,Not Graduate,No,47551.38,27219.5,11200.0,60,1,Semiurban,658,2022-06-28,Approved,74770.88,0.15,0.3087,0.4117,0.576,0.2556
CUST11058,Female,39,Single,Graduate,No,50371.31,12106.15,15500.0,300,1,Urban,718,2023-08-03,Approved,62477.46,0.248,0.3305,0.5853,0.682,0.2089
CUST10901,Male,37,Married,Graduate,No,96417.37,19203.33,14100.0,360,1,Rural,592,2023-05-09,Approved,115620.7,0.122,0.6858,0.5288,0.4594,0.4109
CUST10610,Female,28,Married,Not Graduate,No,104956.35,0.0,21800.0,360,0,Semiurban,739,2022-12-01,Rejected,104956.35,0.208,0.7517,0.8396,0.7191,0.3704
CUST11421,Female,45,Single,Graduate,No,137131.87,51648.0,24200.0,300,1,Semiurban,480,2024-02-18,Rejected,188779.87,0.128,1.0,0.9364,0.2615,0.6891
CUST10699,Male,38,Married,Not Graduate,Yes,44712.92,0.0,8200.0,360,1,Semiurban,622,2023-01-18,Rejected,44712.92,0.183,0.2868,0.2906,0.5124,0.1413
CUST10623,Female,52,Widowed,Not Graduate,Yes,110158.07,0.0,12900.0,120,1,Semiurban,696,2022-12-08,Approved,110158.07,0.117,0.7919,0.4803,0.6431,0.3902
CUST10259,Female,28,Married,Graduate,No,58096.42,0.0,7700.0,120,1,Rural,725,2022-05-22,Rejected,58096.42,0.133,0.3901,0.2704,0.6943,0.1922
CUST10590,Female,38,Single,Not Graduate,No,112526.52,9512.2,15900.0,12,1,Urban,701,2022-11-20,Approved,122038.72,0.13,0.8101,0.6014,0.6519,0.4353
CUST11044,Male,34,Married,Graduate,No,42623.24,15970.94,8300.0,360,1,Semiurban,679,2023-07-26,Approved,58594.18,0.142,0.2707,0.2947,0.6131,0.1941
CUST10340,Male,38,Married,Graduate,Yes,67368.6,4436.05,8100.0,360,1,Rural,645,2022-07-06,Approved,71804.65,0.113,0.4617,0.2866,0.553,0.2443
CUST11162,Female,36,Single,Graduate,Yes,25715.3,0.0,3000.0,360,1,Urban,538,2023-09-29,Approved,25715.3,0.117,0.1402,0.0807,0.364,0.0691
CUST11075,Male,37,Married,Not Graduate,No,120608.12,42609.04,25775.0,360,1,Urban,615,2023-08-12,Approved,163217.16,0.158,0.8725,1.0,0.5,0.5919
CUST10350,Female,33,Married,Not Graduate,No,21527.78,12902.97,3100.0,240,1,Semiurban,875,2022-07-11,Rejected,34430.75,0.09,0.1079,0.0848,0.9594,0.1022
CUST10419,Female,34,Married,Not Graduate,No,51300.97,22923.33,7300.0,12,1,Semiurban,581,2022-08-18,Approved,74224.3,0.098,0.3377,0.2543,0.4399,0.2535
CUST11974,Male,30,Widowed,Graduate,No,131732.81,18941.14,25775.0,360,1,Urban,657,2024-12-17,Approved,150673.95,0.171,0.9583,1.0,0.5742,0.5442
CUST11804,Female,18,Single,Graduate,No,25338.58,0.0,3100.0,360,1,Semiurban,626,2024-09-15,Approved,25338.58,0.122,0.1373,0.0848,0.5194,0.0677
CUST11894,Male,29,Married,Not Graduate,Yes,40604.15,17833.9,7200.0,300,1,Semiurban,631,2024-11-03,Rejected,58438.05,0.123,0.2551,0.2503,0.5283,0.1935
CUST11252,Male,42,Married,Graduate,No,137131.87,0.0,25775.0,360,1,Semiurban,595,2023-11-17,Rejected,137131.87,0.188,1.0,1.0,0.4647,0.4927
CUST11340,Male,45,Married,Post Graduate,Yes,16428.63,0.0,3500.0,360,0,Rural,640,2024-01-05,Approved,16428.63,0.213,0.0686,0.1009,0.5442,0.0338
CUST11303,Male,28,Single,Graduate,No,37891.02,14690.9,4200.0,360,1,Rural,652,2023-12-15,Approved,52581.92,0.08,0.2342,0.1292,0.5654,0.1712
CUST11382,Female,43,Single,Graduate,Yes,42044.95,6551.87,12300.0,180,0,Rural,669,2024-01-28,Approved,48596.82,0.253,0.2662,0.4561,0.5954,0.1561
CUST11910,Male,26,Married,Not Graduate,No,73066.89,44549.74,9200.0,360,1,Urban,635,2024-11-12,Approved,117616.63,0.078,0.5056,0.331,0.5353,0.4185
CUST11914,Male,44,Single,Graduate,No,59520.44,47106.24,6800.0,36,1,Semiurban,661,2024-11-14,Approved,106626.68,0.064,0.4011,0.2341,0.5813,0.3767
CUST10649,Male,51,Single,Not Graduate,No,75974.59,12471.02,11700.0,240,1,Urban,602,2022-12-22,Approved,88445.61,0.132,0.5281,0.4319,0.477,0.3076
CUST10698,Female,29,Widowed,Post Graduate,No,58683.36,10319.14,6600.0,360,0,Semiurban,775,2023-01-18,Rejected,69002.5,0.096,0.3946,0.226,0.7827,0.2337
CUST11566,Male,38,Widowed,Post Graduate,No,16816.75,0.0,2900.0,180,1,Semiurban,635,2024-05-07,Approved,16816.75,0.172,0.0716,0.0767,0.5353,0.0353
CUST11866,Female,52,Divorced,Not Graduate,No,33062.41,69350.71,6800.0,120,1,Urban,550,2024-10-19,Approved,102413.12,0.066,0.1969,0.2341,0.3852,0.3607
CUST11944,Female,42,Single,Not Graduate,No,29978.39,0.0,7500.0,60,1,Semiurban,715,2024-11-30,Approved,29978.39,0.25,0.1731,0.2624,0.6767,0.0853
CUST10341,Female,66,Married,Not Graduate,No,76799.02,15775.08,10400.0,180,1,Urban,633,2022-07-06,Approved,92574.1,0.112,0.5344,0.3794,0.5318,0.3233
CUST11034,Female,53,Single,Not Graduate,No,30653.96,27259.89,5300.0,360,1,Semiurban,617,2023-07-21,Approved,57913.85,0.092,0.1783,0.1736,0.5035,0.1915
