Customer_ID,Gender,Age,Marital_Status,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Credit_Score,Application_Date,Loan_Status
CUST11028,M,41.0,Single,Graduate,No,60136.34,23375.46,6900.0,36,1.0,URBAN,708.0,2023-07-18,N
CUST10140,Female,47.0,Single,Graduate,No,27320.81,4590.77,3400.0,360,1.0,Rural,704.0,2022-03-18,Rejected
CUST10110,Female,36.0,Divorced,Graduate,nan,17783.01,47391.96,4600.0,180,0.0,Semiurban,513.0,03-02-2022,Y
CUST10638,M,46.0,single,Not Graduate,Yes,28733.46,9856.56,4300.0,360,1.0,Semiurban,607.0,12-16-2022,Y
CUST10702,Male,28.0,Divorced,Under Graduate,No,94384.71,0.0,14200.0,360,,Urban,683.0,01-20-2023,Y
CUST11907,Male,25.0,Married,Graduate,No,49296.19,0.0,13400.0,120,1.0,Semiurban,639.0,10-Nov-2024,Y
CUST11702,Female,59.0,married,graduate,No,52078.88,57747.95,14200.0,360,1.0,Semiurban,703.0,07-21-2024,Y
CUST11614,F,47.0,Married,Not Graduate,No,35786.55,23187.75,7800.0,360,0.0,rural,786.0,06-03-2024,Approved
CUST10172,Male,32.0,Single,Graduate,No,76835.19,0.0,8700.0,360,1.0, Semiurban ,739.0,2022-04-05,y
CUST11319,F,17.0,Married,Graduate,nan,141672.36,24895.26,,120,1.0,Urban,1200.0,24-Dec-2023,Y
CUST10375,Male,28.0,Single,Under Graduate,No,96624.21,0.0,22500.0,360,0.0,Urban,628.0,25-Jul-2022,Y
CUST11746,M,28.0,Married,Post Graduate,N,26054.02,17538.04,4500.0,360,1.0,Rural,592.0,08-14-2024,Approved
CUST11966,M,35.0,Single,Not Graduate,nan,1057625.25,32569.94,125400.0,360,0.0,Rural,499.0,12-12-2024,Y
CUST10410,Female,54.0,Married,Graduate,Yes,21011.06,0.0,3400.0,360,0.0,URBAN,573.0,08-13-2022,Y
CUST11936,Female,22.0,Married,Not Graduate,nan,40238.63,25624.34,9200.0,360,1.0,Urban,597.0,2024-11-26,Approved
CUST11156,Male,51.0,Single,Graduate,No,106799.43,1178.38,23500.0,60,1.0,Rural,537.0,2023-09-26,Approved
CUST11127,Female,41.0,Single,Post Graduate,No,37272.26,18539.25,4300.0,300,1.0,Urban,657.0,10-Sep-2023,Approved
CUST11064,Male,16.0,Widowed,Under Graduate,Yes,21625.58,28806.07,6300.0,360,1.0,Urban,678.0,2023-08-06,N
CUST11926,Female,53.0,Single,Graduate,No,41494.73,23509.71,5100.0,300,1.0,Semiurban,607.0,11-21-2024,Y
CUST10829,Male,42.0,Married,Not Graduate,No,45554.21,18133.1,6900.0,360,1.0,Rural,579.0,31/03/2023,n
CUST10986,Male,52.0,Divorced,graduate,No,41762.65,6690.39,5600.0,180,1.0,rural,590.0,06-25-2023,Y
CUST10729,Female,22.0,Single,Graduate,No,44735.15,15017.0,7200.0,360,0.0,Semiurban,757.0,04/02/2023,Approved
CUST11834,Male,33.0,Married,Post Graduate,Yes,34360.69,1849.32,7600.0,120,1.0,Semiurban,608.0,10-01-2024,N
CUST11256,M,,Married,Graduate,Y,18723.69,0.0,2400.0,360,1.0, Semiurban ,825.0,2023-11-20,Rejected
CUST11380,Female,35.0,Single,Not Graduate,No,59791.08,0.0,10100.0,180,0.0,URBAN,598.0,2024-01-26,Y
CUST10002,F,25.0,Single,Graduate,Y,22145.47,13599.32,3900.0,360,1.0,Rural,385.0,01-02-2022,Y
CUST11276,Male,55.0,Married,Not Graduate,Yes,20132.03,0.0,6200.0,180,1.0,rural,681.0,2023-11-30,Approved
CUST11504,F,46.0,single,Graduate,Yes,45765.53,14983.58,7000.0,300,1.0,Semiurban,600.0,2024-04-03,Y
CUST10514,Male,38.0,Widowed,Graduate,No,75936.73,0.0,13500.0,360,1.0,Rural,721.0,10-09-2022,Rejected
CUST10325,Female,52.0,Married,Not Graduate,nan,47551.38,27219.5,11200.0,60,1.0, Semiurban ,658.0,28/06/2022,y
CUST11058,Female,39.0,Single,graduate,No,50371.31,12106.15,15500.0,300,1.0,URBAN,718.0,08-03-2023,Approved
CUST10901,Male,37.0,Married,Graduate,No,96417.37,19203.33,14100.0,360,1.0,rural,592.0,09/05/2023,Y
CUST10610,Female,28.0,Married,Not Graduate,No,104956.35,0.0,21800.0,360,0.0, Semiurban ,739.0,12-01-2022,n
CUST11421,Female,45.0,Single,Graduate,No,203835.97,51648.0,24200.0,300,1.0,Semiurban,480.0,18/02/2024,N
CUST10699,Male,38.0,married,Not Graduate,Yes,44712.92,0.0,8200.0,360,1.0, Semiurban ,622.0,18-Jan-2023,n
CUST10623,Female,52.0,Widowed,Not Graduate,Yes,110158.07,0.0,12900.0,120,1.0,Semiurban,696.0,08-Dec-2022,Y
CUST10259,Female,28.0,Married,Graduate,No,58096.42,0.0,7700.0,120,1.0,rural,725.0,22-May-2022,Rejected
CUST10590,female,,Single,Not Graduate,No,112526.52,9512.2,15900.0,12,1.0,Urban,701.0,11-20-2022,Y
CUST11044,Male,34.0,Married,Graduate,nan,42623.24,15970.94,,360,1.0,Semiurban,679.0,2023-07-26,Y
CUST10340,Male,,Married,graduate,Y,67368.6,4436.05,8100.0,360,1.0,Rural,645.0,2022-07-06,Approved
CUST11162,F,36.0,single,Graduate,Yes,25715.3,0.0,3000.0,360,,URBAN,538.0,09-29-2023,Y
CUST11075,Male,37.0,Married,Not Graduate,No,120608.12,42609.04,39700.0,360,1.0,Urban,615.0,12-Aug-2023,Approved
CUST10350,Female,33.0,married,Not Graduate,No,21527.78,12902.97,3100.0,240,,Semiurban,875.0,07-11-2022,Rejected
CUST10419,female,34.0,Married,Under Graduate,No,51300.97,22923.33,7300.0,12,1.0,Semiurban,581.0,18-Aug-2022,Y
CUST11974,Male,30.0,Widowed,Graduate,No,131732.81,18941.14,36000.0,360,1.0,Urban,657.0,12-17-2024,Y
CUST11804,Female,18.0,Single,Graduate,No,25338.58,0.0,3100.0,360,1.0,Semiurban,626.0,2024-09-15,Y
CUST11894,Male,29.0,,Not Graduate,Yes,40604.15,17833.9,7200.0,300,1.0,Semiurban,631.0,11-03-2024,N
CUST11252,Male,42.0,Married,Graduate,nan,426275.1,0.0,49000.0,360,,Semiurban,595.0,2023-11-17,Rejected
CUST11340,Male,45.0,Married,Post Graduate,Yes,16428.63,0.0,3500.0,360,0.0,rural,640.0,2024-01-05,Y
CUST11303,Male,28.0,single,Graduate,No,37891.02,14690.9,4200.0,360,1.0,rural,652.0,15-Dec-2023,Y
CUST11382,Female,43.0,Single,graduate,Y,42044.95,6551.87,12300.0,180,0.0,Rural,669.0,01-28-2024,Y
CUST11910,Male,26.0,Married,Not Graduate,No,73066.89,44549.74,9200.0,360,1.0,Urban,635.0,11-12-2024,Approved
CUST11914,Male,44.0,Single,Graduate,No,59520.44,47106.24,6800.0,36,1.0,Semiurban,661.0,11-14-2024,y
CUST10649,Male,51.0,Single,Not Graduate,No,75974.59,12471.02,11700.0,240,1.0,Urban,602.0,22/12/2022,Y
CUST10698,Female,29.0,Widowed,Post Graduate,nan,58683.36,10319.14,6600.0,360,0.0,Semiurban,775.0,01-18-2023,Rejected
CUST11566,Male,38.0,Widowed,Post Graduate,No,16816.75,0.0,2900.0,180,,Semiurban,635.0,05-07-2024,Y
CUST11866,female,52.0,Divorced,Not Graduate,No,33062.41,69350.71,6800.0,120,1.0,Urban,550.0,10-19-2024,Y
CUST11944,F,42.0,Single,Not Graduate,No,29978.39,0.0,7500.0,60,1.0,Semiurban,715.0,2024-11-30,Y
CUST10341,female,66.0,married,Under Graduate,No,76799.02,15775.08,10400.0,180,1.0,Urban,633.0,06/07/2022,Approved
CUST11034,Female,53.0,single,Not Graduate,No,30653.96,27259.89,5300.0,360,1.0,Semiurban,617.0,07-21-2023,Y
CUST11259,,49.0,Single,Graduate,No,37972.25,7575.46,4200.0,360,1.0,Rural,670.0,21-Nov-2023,Approved
CUST10769,Female,32.0,Single,Not Graduate,No,37382.07,0.0,5700.0,120,,Urban,685.0,26/02/2023,Rejected
